____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 14:05:32 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  360.8 wakeup/s;CPU:  30.0% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  8.3%;121.1;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  608 mW  
  2.6%; 60.1;Process;[PID 1002] lxterminal ;  278 mW  
 11.6%; 0.00;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  180 mW  
  2.1%; 33.1;Process;[PID 748] mutter ;  164 mW  
  0.8%; 27.9;Interrupt;[19] IPI;  122 mW  
  0.4%; 26.1;Process;[PID 437] /usr/sbin/thd --triggers /etc/triggerhappy/triggers.d/ --socket /run/thd.socket --user nobody --deviceglob /dev/input;  109 mW  
  0.0%; 17.4;Timer;tick_sched_timer; 69.4 mW  
  0.5%; 13.1;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 58.9 mW  
  0.4%; 10.5;Process;[PID 208] [v3d_bin]; 47.4 mW  
  1.1%;  4.4;Process;[PID 611] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 35.1 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
 82.8 ms/s;121.1;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  608 mW  
 25.9 ms/s; 60.1;;;;Process;[PID 1002] lxterminal ;  278 mW  
115.6 ms/s;;;;;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  180 mW  
 21.5 ms/s; 33.1;;;;Process;[PID 748] mutter ;  164 mW  
  7.5 ms/s; 27.9;;;;Interrupt;[19] IPI;  122 mW  
  3.6 ms/s; 26.1;;;;Process;[PID 437] /usr/sbin/thd --triggers /etc/triggerhappy/triggers.d/ --socket /run/thd.socket --user nobody --deviceglob /dev/input;  109 mW  
375.5 us/s; 17.4;;;;Timer;tick_sched_timer; 69.4 mW  
  4.7 ms/s; 13.1;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 58.9 mW  
  3.9 ms/s; 10.5;;;;Process;[PID 208] [v3d_bin]; 47.4 mW  
 11.5 ms/s;  4.4;;;;Process;[PID 611] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 35.1 mW  
  0.7 ms/s;  7.8;;;;Process;[PID 12] [rcu_sched]; 32.1 mW  
 80.2 us/s;  6.1;;;;kWork;dbs_work_handler; 24.2 mW  
  3.4 ms/s;  4.4;;;;Interrupt;[0] HI_SOFTIRQ; 22.6 mW  
137.7 us/s;  5.2;;;;kWork;kfree_rcu_work; 20.9 mW  
 54.3 us/s;  5.2;;;;kWork;kfree_rcu_monitor; 20.7 mW  
  0.7 ms/s;  3.5;;;;Interrupt;[79] v3d; 14.9 mW  
 64.6 us/s;  3.5;;;;Timer;txdone_hrtimer; 13.9 mW  
541.5 us/s;  1.7;;;;Timer;hrtimer_wakeup; 7.73 mW  
 70.0 us/s;  1.7;;;;Interrupt;[35] fe00b880.mailbox; 6.99 mW  
 63.2 us/s;  1.7;;;;Process;[PID 39] [kcompactd0]; 6.98 mW  
  2.9 ms/s;;;;;Interrupt;[9] RCU(softirq); 4.49 mW  
  2.9 ms/s;;;;;Process;[PID 209] [v3d_render]; 4.47 mW  
  2.6 ms/s;;;;;Interrupt;[81] xhci_hcd; 3.99 mW  
202.4 us/s;  0.9;;;;Timer;it_real_fn; 3.76 mW  
 69.5 us/s;  0.9;;;;kWork;phy_state_machine; 3.55 mW  
 36.2 us/s;  0.9;;;;kWork;drm_mode_rmfb_work_fn; 3.50 mW  
