____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 14:05:29 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  115.0 wakeup/s;CPU:  24.1% usage;GPU: 0 ops/s;GFX: 6.1 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
 11.0%; 0.00;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  171 mW  
  5.0%; 18.6;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ;  152 mW  
  0.4%; 22.1;Interrupt;[19] IPI; 93.3 mW  
  5.0%;  2.7;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 89.1 mW  
  0.2%; 14.2;Process;[PID 209] [v3d_render]; 58.9 mW  
  0.1%; 11.5;Timer;tick_sched_timer; 46.4 mW  
  1.0%;  3.5;Process;[PID 748] mutter ; 34.0 mW  
  0.0%;  6.2;kWork;kfree_rcu_work; 24.6 mW  
  0.1%;  5.3;Process;[PID 12] [rcu_sched]; 22.2 mW  
  0.0%;  5.3;Timer;hrtimer_wakeup; 21.2 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
109.7 ms/s;;;;;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  171 mW  
 49.7 ms/s; 18.6;;;  0.9;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ;  152 mW  
  3.8 ms/s; 22.1;;;;Interrupt;[19] IPI; 93.3 mW  
 50.4 ms/s;  2.7;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 89.1 mW  
  1.9 ms/s; 14.2;;;;Process;[PID 209] [v3d_render]; 58.9 mW  
607.0 us/s; 11.5;;;;Timer;tick_sched_timer; 46.4 mW  
 10.0 ms/s;  3.5;;;  4.4;Process;[PID 748] mutter ; 34.0 mW  
112.7 us/s;  6.2;;;;kWork;kfree_rcu_work; 24.6 mW  
  0.8 ms/s;  5.3;;;;Process;[PID 12] [rcu_sched]; 22.2 mW  
135.3 us/s;  5.3;;;;Timer;hrtimer_wakeup; 21.2 mW  
 80.8 us/s;  5.3;;;;kWork;kfree_rcu_monitor; 21.1 mW  
 42.4 us/s;  5.3;;;;kWork;dbs_work_handler; 21.0 mW  
  1.9 ms/s;  3.5;;;;Process;[PID 208] [v3d_bin]; 17.0 mW  
242.9 us/s;  1.8;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 7.37 mW  
677.4 us/s;  0.9;;;;Process;[PID 836] pcmanfm --desktop --profile LXDE-pi ; 4.55 mW  
523.5 us/s;  0.9;;;;Process;[PID 1285] mousepad /home/pi/Desktop/liboqs/spm/csv_files/8Gpi4-20220126-155958 ; 4.31 mW  
467.5 us/s;  0.9;;;;Interrupt;[79] v3d; 4.22 mW  
 96.9 us/s;  0.9;;;;Process;[PID 39] [kcompactd0]; 3.65 mW  
 73.0 us/s;  0.9;;;;Interrupt;[35] fe00b880.mailbox; 3.61 mW  
 59.9 us/s;  0.9;;;;kWork;get_values_poll; 3.59 mW  
 29.7 us/s;  0.9;;;;Timer;txdone_hrtimer; 3.54 mW  
 23.1 us/s;  0.9;;;;Process;[PID 27] [ksoftirqd/3]; 3.53 mW  
  4.1 us/s;  0.9;;;;Interrupt;[66] mmc1; 3.50 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.49 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.49 mW  
  1.6 ms/s;;;;;Interrupt;[28] arch_timer; 2.52 mW  
  1.1 ms/s;;;;;Interrupt;[9] RCU(softirq); 1.67 mW  
385.8 us/s;;;;  0.9;Process;[PID 1186] [kworker/2:2]; 1.49 mW  
  0.9 ms/s;;;;;Interrupt;[7] sched(softirq); 1.42 mW  
  0.9 ms/s;;;;;Process;[PID 1002] lxterminal ; 1.33 mW  
