____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 14:05:36 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  145.2 wakeup/s;CPU:  27.8% usage;GPU: 0 ops/s;GFX: 0.8 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  5.4%; 26.6;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ;  189 mW  
 10.4%; 0.00;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  162 mW  
  7.9%;  7.1;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  152 mW  
  0.4%; 30.1;Interrupt;[19] IPI;  126 mW  
  0.2%; 18.6;Process;[PID 209] [v3d_render]; 77.3 mW  
  0.1%; 13.3;Timer;tick_sched_timer; 53.3 mW  
  0.2%; 11.5;Process;[PID 208] [v3d_bin]; 49.2 mW  
  0.0%;  8.0;kWork;kfree_rcu_monitor; 31.6 mW  
  1.0%;  1.8;Process;[PID 748] mutter ; 21.9 mW  
  0.1%;  4.4;Process;[PID 12] [rcu_sched]; 18.6 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
 53.6 ms/s; 26.6;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ;  189 mW  
103.6 ms/s;;;;;Process;[PID 1826] powertop --csv output --iteration=10 --time=1 ;  162 mW  
 79.5 ms/s;  7.1;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  152 mW  
  4.2 ms/s; 30.1;;;;Interrupt;[19] IPI;  126 mW  
  2.5 ms/s; 18.6;;;;Process;[PID 209] [v3d_render]; 77.3 mW  
501.1 us/s; 13.3;;;;Timer;tick_sched_timer; 53.3 mW  
  2.4 ms/s; 11.5;;;;Process;[PID 208] [v3d_bin]; 49.2 mW  
 91.9 us/s;  8.0;;;;kWork;kfree_rcu_monitor; 31.6 mW  
  9.6 ms/s;  1.8;;;;Process;[PID 748] mutter ; 21.9 mW  
  0.7 ms/s;  4.4;;;;Process;[PID 12] [rcu_sched]; 18.6 mW  
  7.4 ms/s;;;;  0.9;Process;[PID 1002] lxterminal ; 12.4 mW  
119.0 us/s;  2.7;;;;kWork;kfree_rcu_work; 10.7 mW  
101.1 us/s;  2.7;;;;Timer;hrtimer_wakeup; 10.7 mW  
 66.6 us/s;  2.7;;;;kWork;dbs_work_handler; 10.6 mW  
240.1 us/s;  1.8;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 7.37 mW  
 64.1 us/s;  1.8;;;;Interrupt;[35] fe00b880.mailbox; 7.10 mW  
 31.0 us/s;  1.8;;;;Timer;txdone_hrtimer; 7.05 mW  
  0.8 ms/s;  0.9;;;;Interrupt;[7] sched(softirq); 4.81 mW  
583.6 us/s;  0.9;;;;Interrupt;[79] v3d; 4.41 mW  
  2.8 ms/s;;;;;Process;[PID 1352] [kworker/3:0]; 4.29 mW  
319.7 us/s;  0.9;;;;Process;[PID 1285] mousepad /home/pi/Desktop/liboqs/spm/csv_files/8Gpi4-20220126-155958 ; 4.00 mW  
299.1 us/s;  0.9;;;;Process;[PID 1840] pool-pcmanfm; 3.97 mW  
211.1 us/s;  0.9;;;;Process;[PID 27] [ksoftirqd/3]; 3.83 mW  
 56.6 us/s;  0.9;;;;Process;[PID 39] [kcompactd0]; 3.59 mW  
 54.0 us/s;  0.9;;;;Process;[PID 885] /usr/libexec/gvfs-afc-volume-monitor ; 3.58 mW  
 38.3 us/s;  0.9;;;;kWork;drm_mode_rmfb_work_fn; 3.56 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.50 mW  
  0.0 us/s;  0.9;;;;kWork;phy_state_machine; 3.50 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.50 mW  
  0.0 us/s;  0.9;;;;kWork;get_values_poll; 3.50 mW  
