____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:52:11 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  127.4 wakeup/s;CPU:  7.2% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 35.3;Interrupt;[19] IPI;  141 mW  
  0.0%; 27.0;Timer;tick_sched_timer;  107 mW  
  5.0%; 0.00;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 77.3 mW  
  0.0%; 13.0;Interrupt;[35] fe00b880.mailbox; 51.7 mW  
  0.0%; 10.2;Timer;txdone_hrtimer; 40.6 mW  
  0.0%;  5.6;Process;[PID 12] [rcu_sched]; 22.5 mW  
  0.0%;  4.7;Timer;hrtimer_wakeup; 18.5 mW  
  0.0%;  4.7;kWork;dbs_work_handler; 18.5 mW  
  0.5%;  1.9;Process;[PID 748] mutter ; 15.3 mW  
  0.0%;  3.7;kWork;handle_update; 14.9 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   1.3% 
 700 MHz;   0.0% 
 800 MHz;   0.1% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  98.6% 
;
;
;
;

CPU 0
 600 MHz;   0.2% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.8% 
CPU 1
 600 MHz;   1.1% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  98.8% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
CPU 3
 600 MHz;   0.1% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  0.8 ms/s; 35.3;;;;Interrupt;[19] IPI;  141 mW  
419.3 us/s; 27.0;;;;Timer;tick_sched_timer;  107 mW  
 49.5 ms/s;;;;;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 77.3 mW  
173.0 us/s; 13.0;;;;Interrupt;[35] fe00b880.mailbox; 51.7 mW  
108.4 us/s; 10.2;;;;Timer;txdone_hrtimer; 40.6 mW  
317.0 us/s;  5.6;;;;Process;[PID 12] [rcu_sched]; 22.5 mW  
 90.8 us/s;  4.7;;;;Timer;hrtimer_wakeup; 18.5 mW  
 59.8 us/s;  4.7;;;;kWork;dbs_work_handler; 18.5 mW  
  5.1 ms/s;  1.9;;;;Process;[PID 748] mutter ; 15.3 mW  
 99.9 us/s;  3.7;;;;kWork;handle_update; 14.9 mW  
 26.4 us/s;  3.7;;;;Interrupt;[72] eth0; 14.7 mW  
 62.6 us/s;  2.8;;;;kWork;kfree_rcu_work; 11.1 mW  
  4.6 ms/s;  0.9;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 10.8 mW  
 72.8 us/s;  1.9;;;;Interrupt;[50] vc4 crtc; 7.46 mW  
 12.5 us/s;  1.9;;;;kWork;kfree_rcu_monitor; 7.37 mW  
447.1 us/s;  0.9;;;;Process;[PID 1139] sh; 4.37 mW  
100.4 us/s;  0.9;;;;Process;[PID 713] /usr/bin/lxsession -s LXDE-pi -e LXDE ; 3.83 mW  
 62.7 us/s;  0.9;;;;Process;[PID 453] /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant ; 3.77 mW  
 55.1 us/s;  0.9;;;;Process;[PID 885] /usr/libexec/gvfs-afc-volume-monitor ; 3.76 mW  
 49.2 us/s;  0.9;;;;Process;[PID 39] [kcompactd0]; 3.75 mW  
 43.0 us/s;  0.9;;;;Interrupt;[79] v3d; 3.74 mW  
 22.6 us/s;  0.9;;;;kWork;drm_mode_rmfb_work_fn; 3.71 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.67 mW  
  0.0 us/s;  0.9;;;;kWork;get_values_poll; 3.67 mW  
  0.0 us/s;  0.9;;;;kWork;phy_state_machine; 3.67 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.67 mW  
  1.7 ms/s;;;;;Interrupt;[9] RCU(softirq); 2.61 mW  
  1.3 ms/s;;;;;Process;[PID 1073] [kworker/1:0]; 2.08 mW  
  0.8 ms/s;;;;;Process;[PID 294] [kworker/u8:3]; 1.29 mW  
  0.7 ms/s;;;;;Interrupt;[28] arch_timer; 1.13 mW  
651.9 us/s;;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 1.02 mW  
596.6 us/s;;;;;Process;[PID 13] [migration/0];  931 uW  
450.5 us/s;;;;;Interrupt;[7] sched(softirq);  703 uW  
