____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:52:06 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  212.7 wakeup/s;CPU:  12.3% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 38.9;Interrupt;[19] IPI;  156 mW  
  0.0%; 23.1;Interrupt;[35] fe00b880.mailbox; 91.6 mW  
  0.0%; 22.2;Timer;tick_sched_timer; 88.3 mW  
  5.6%; 0.00;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 86.8 mW  
  0.5%; 19.4;Process;[PID 314] /lib/systemd/systemd-timesyncd ; 83.8 mW  
  2.5%;  8.3;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 71.5 mW  
  0.0%; 13.0;Timer;txdone_hrtimer; 51.3 mW  
  0.1%; 10.2;Process;[PID 1] /sbin/init splash ; 42.3 mW  
  0.1%; 10.2;Process;[PID 209] [v3d_render]; 41.7 mW  
  0.7%;  7.4;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 39.8 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   1.2% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.6% 
Idle;  98.2% 
;
;
;
;

CPU 0
 600 MHz;   0.3% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.6% 
CPU 1
 600 MHz;   0.2% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.3% 
Idle;  99.5% 
CPU 2
 600 MHz;   0.8% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.3% 
Idle;  98.9% 
CPU 3
 600 MHz;   0.2% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.2% 
Idle;  99.6% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  1.5 ms/s; 38.9;;;;Interrupt;[19] IPI;  156 mW  
165.0 us/s; 23.1;;;;Interrupt;[35] fe00b880.mailbox; 91.6 mW  
403.7 us/s; 22.2;;;;Timer;tick_sched_timer; 88.3 mW  
 55.6 ms/s;;;;;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 86.8 mW  
  4.5 ms/s; 19.4;;;;Process;[PID 314] /lib/systemd/systemd-timesyncd ; 83.8 mW  
 24.7 ms/s;  8.3;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 71.5 mW  
115.0 us/s; 13.0;;;;Timer;txdone_hrtimer; 51.3 mW  
  1.4 ms/s; 10.2;;;;Process;[PID 1] /sbin/init splash ; 42.3 mW  
  1.0 ms/s; 10.2;;;;Process;[PID 209] [v3d_render]; 41.7 mW  
  6.7 ms/s;  7.4;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 39.8 mW  
 12.4 ms/s;  4.6;;;;Process;[PID 748] mutter ; 37.6 mW  
203.6 us/s;  6.5;;;;Process;[PID 12] [rcu_sched]; 25.9 mW  
 24.4 us/s;  4.6;;;;Interrupt;[72] eth0; 18.3 mW  
  0.7 ms/s;  3.7;;;;Process;[PID 208] [v3d_bin]; 15.8 mW  
103.6 us/s;  3.7;;;;kWork;handle_update; 14.8 mW  
 85.6 us/s;  3.7;;;;Timer;hrtimer_wakeup; 14.7 mW  
 52.5 us/s;  3.7;;;;kWork;dbs_work_handler; 14.7 mW  
 21.4 us/s;  3.7;;;;kWork;kfree_rcu_monitor; 14.6 mW  
109.6 us/s;  2.8;;;;Interrupt;[50] vc4 crtc; 11.1 mW  
 17.3 us/s;  2.8;;;;kWork;kfree_rcu_work; 11.0 mW  
422.9 us/s;  1.9;;;;Interrupt;[7] sched(softirq); 7.97 mW  
191.6 us/s;  1.9;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 7.61 mW  
166.3 us/s;  1.9;;;;Interrupt;[79] v3d; 7.57 mW  
 59.9 us/s;  1.9;;;;kWork;drm_mode_rmfb_work_fn; 7.40 mW  
  0.0 us/s;  1.9;;;;kWork;commit_work; 7.31 mW  
  2.7 ms/s;;;;;Process;[PID 1002] lxterminal ; 4.16 mW  
266.6 us/s;  0.9;;;;Process;[PID 11] [ksoftirqd/0]; 4.07 mW  
127.0 us/s;  0.9;;;;Process;[PID 1136] pool-pcmanfm; 3.85 mW  
 86.1 us/s;  0.9;;;;Process;[PID 525] /usr/bin/epmd -systemd ; 3.79 mW  
 26.4 us/s;  0.9;;;;Process;[PID 39] [kcompactd0]; 3.70 mW  
