____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:52:18 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  165.3 wakeup/s;CPU:  9.5% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 34.2;Interrupt;[19] IPI;  136 mW  
  0.0%; 27.7;Interrupt;[35] fe00b880.mailbox;  110 mW  
  0.0%; 23.1;Timer;tick_sched_timer; 91.4 mW  
  5.1%; 0.00;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 79.0 mW  
  3.0%;  5.5;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 68.5 mW  
  0.1%; 10.2;Process;[PID 209] [v3d_render]; 41.0 mW  
  0.0%;  9.2;Timer;txdone_hrtimer; 36.7 mW  
  0.4%;  5.5;Process;[PID 748] mutter ; 27.6 mW  
  0.0%;  5.5;Process;[PID 12] [rcu_sched]; 22.2 mW  
  0.1%;  4.6;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 19.8 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   1.5% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.2% 
Idle;  98.3% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  99.9% 
CPU 2
 600 MHz;   1.4% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  98.5% 
CPU 3
 600 MHz;   0.1% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  1.0 ms/s; 34.2;;;;Interrupt;[19] IPI;  136 mW  
117.4 us/s; 27.7;;;;Interrupt;[35] fe00b880.mailbox;  110 mW  
154.2 us/s; 23.1;;;;Timer;tick_sched_timer; 91.4 mW  
 50.6 ms/s;;;;;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 79.0 mW  
 29.9 ms/s;  5.5;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 68.5 mW  
587.7 us/s; 10.2;;;;Process;[PID 209] [v3d_render]; 41.0 mW  
111.6 us/s;  9.2;;;;Timer;txdone_hrtimer; 36.7 mW  
  3.7 ms/s;  5.5;;;;Process;[PID 748] mutter ; 27.6 mW  
170.5 us/s;  5.5;;;;Process;[PID 12] [rcu_sched]; 22.2 mW  
  1.0 ms/s;  4.6;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 19.8 mW  
107.8 us/s;  4.6;;;;kWork;handle_update; 18.4 mW  
 16.5 us/s;  4.6;;;;kWork;kfree_rcu_work; 18.3 mW  
  9.8 us/s;  3.7;;;;Interrupt;[72] eth0; 14.6 mW  
104.0 us/s;  2.8;;;;Interrupt;[79] v3d; 11.1 mW  
 68.0 us/s;  2.8;;;;Timer;hrtimer_wakeup; 11.1 mW  
 15.2 us/s;  2.8;;;;kWork;kfree_rcu_monitor; 11.0 mW  
 61.1 us/s;  1.8;;;;Interrupt;[50] vc4 crtc; 7.39 mW  
 43.7 us/s;  1.8;;;;Process;[PID 39] [kcompactd0]; 7.36 mW  
 33.6 us/s;  1.8;;;;kWork;dbs_work_handler; 7.35 mW  
457.4 us/s;  0.9;;;;Process;[PID 208] [v3d_bin]; 4.36 mW  
293.4 us/s;  0.9;;;;Process;[PID 1002] lxterminal ; 4.11 mW  
189.2 us/s;  0.9;;;;Interrupt;[7] sched(softirq); 3.94 mW  
128.1 us/s;  0.9;;;;Process;[PID 1144] pool-pcmanfm; 3.85 mW  
 70.1 us/s;  0.9;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 3.76 mW  
 66.3 us/s;  0.9;;;;Process;[PID 437] /usr/sbin/thd --triggers /etc/triggerhappy/triggers.d/ --socket /run/thd.socket --user nobody --deviceglob /dev/input; 3.75 mW  
 30.1 us/s;  0.9;;;;kWork;drm_mode_rmfb_work_fn; 3.70 mW  
 20.7 us/s;  0.9;;;;Process;[PID 885] /usr/libexec/gvfs-afc-volume-monitor ; 3.68 mW  
  7.0 us/s;  0.9;;;;Timer;sched_rt_period_timer; 3.66 mW  
  1.4 us/s;  0.9;;;;Interrupt;[66] mmc1; 3.65 mW  
