____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:52:23 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  109.7 wakeup/s;CPU:  10.7% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 33.6;Interrupt;[19] IPI;  134 mW  
  7.2%; 0.00;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ;  113 mW  
  0.0%; 20.9;Timer;tick_sched_timer; 82.8 mW  
  0.0%; 14.5;Interrupt;[35] fe00b880.mailbox; 57.5 mW  
  0.0%;  6.3;Timer;txdone_hrtimer; 25.2 mW  
  1.2%;  0.9;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 22.8 mW  
  0.0%;  5.4;Process;[PID 12] [rcu_sched]; 21.8 mW  
  0.8%;  0.9;Process;[PID 748] mutter ; 16.1 mW  
  0.0%;  3.6;kWork;dbs_work_handler; 14.4 mW  
  0.0%;  2.7;kWork;handle_update; 10.9 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   0.8% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  99.1% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
CPU 1
 600 MHz;   0.7% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.2% 
CPU 2
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 3
 600 MHz;   0.1% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  1.1 ms/s; 33.6;;;;Interrupt;[19] IPI;  134 mW  
 72.1 ms/s;;;;;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ;  113 mW  
274.9 us/s; 20.9;;;;Timer;tick_sched_timer; 82.8 mW  
139.5 us/s; 14.5;;;;Interrupt;[35] fe00b880.mailbox; 57.5 mW  
 75.7 us/s;  6.3;;;;Timer;txdone_hrtimer; 25.2 mW  
 12.3 ms/s;  0.9;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 22.8 mW  
207.8 us/s;  5.4;;;;Process;[PID 12] [rcu_sched]; 21.8 mW  
  8.0 ms/s;  0.9;;;;Process;[PID 748] mutter ; 16.1 mW  
 38.4 us/s;  3.6;;;;kWork;dbs_work_handler; 14.4 mW  
 86.4 us/s;  2.7;;;;kWork;handle_update; 10.9 mW  
 27.2 us/s;  2.7;;;;kWork;kfree_rcu_work; 10.8 mW  
 24.6 us/s;  1.8;;;;Process;[PID 39] [kcompactd0]; 7.20 mW  
 24.6 us/s;  1.8;;;;Interrupt;[72] eth0; 7.20 mW  
  5.5 us/s;  1.8;;;;kWork;kfree_rcu_monitor; 7.17 mW  
  1.0 ms/s;  0.9;;;;Process;[PID 208] [v3d_bin]; 5.07 mW  
  0.9 ms/s;  0.9;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 4.99 mW  
195.4 us/s;  0.9;;;;Interrupt;[7] sched(softirq); 3.89 mW  
174.1 us/s;  0.9;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 3.85 mW  
131.6 us/s;  0.9;;;;Process;[PID 1146] pool-pcmanfm; 3.79 mW  
 70.7 us/s;  0.9;;;;Timer;hrtimer_wakeup; 3.69 mW  
 67.9 us/s;  0.9;;;;Interrupt;[50] vc4 crtc; 3.69 mW  
 66.4 us/s;  0.9;;;;Process;[PID 598] wpa_supplicant -B -c/etc/wpa_supplicant/wpa_supplicant.conf -iwlan0 ; 3.69 mW  
 45.5 us/s;  0.9;;;;Process;[PID 22] [ksoftirqd/2]; 3.65 mW  
  1.5 us/s;  0.9;;;;Interrupt;[66] mmc1; 3.58 mW  
  0.0 us/s;  0.9;;;;kWork;phy_state_machine; 3.58 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.58 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.58 mW  
  0.0 us/s;  0.9;;;;kWork;get_values_poll; 3.58 mW  
  1.2 ms/s;;;;;Process;[PID 294] [kworker/u8:3]; 1.90 mW  
  1.2 ms/s;;;;;Process;[PID 1073] [kworker/1:0]; 1.80 mW  
  1.1 ms/s;;;;;Process;[PID 13] [migration/0]; 1.67 mW  
