____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:52:04 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  115.1 wakeup/s;CPU:  10.1% usage;GPU: 0 ops/s;GFX: 4.5 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 33.8;Interrupt;[19] IPI;  135 mW  
  6.5%; 0.00;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ;  102 mW  
  0.0%; 16.5;Interrupt;[35] fe00b880.mailbox; 65.3 mW  
  0.0%; 15.5;Timer;tick_sched_timer; 61.5 mW  
  0.0%;  7.3;Interrupt;[72] eth0; 28.9 mW  
  0.0%;  6.4;Timer;txdone_hrtimer; 25.4 mW  
  1.1%; 0.00;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 17.2 mW  
  0.9%; 0.00;Process;[PID 748] mutter ; 16.0 mW  
  0.0%;  3.7;Process;[PID 12] [rcu_sched]; 14.8 mW  
  0.0%;  3.7;kWork;handle_update; 14.6 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   1.4% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  98.4% 
;
;
;
;

CPU 0
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle; 100.0% 
CPU 2
 600 MHz;   1.4% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  98.5% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  1.0 ms/s; 33.8;;;;Interrupt;[19] IPI;  135 mW  
 65.3 ms/s;;;;;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ;  102 mW  
224.6 us/s; 16.5;;;;Interrupt;[35] fe00b880.mailbox; 65.3 mW  
 62.8 us/s; 15.5;;;;Timer;tick_sched_timer; 61.5 mW  
 42.3 us/s;  7.3;;;;Interrupt;[72] eth0; 28.9 mW  
 84.1 us/s;  6.4;;;;Timer;txdone_hrtimer; 25.4 mW  
 11.0 ms/s;;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 17.2 mW  
  8.5 ms/s;;;;  2.7;Process;[PID 748] mutter ; 16.0 mW  
224.1 us/s;  3.7;;;;Process;[PID 12] [rcu_sched]; 14.8 mW  
 88.1 us/s;  3.7;;;;kWork;handle_update; 14.6 mW  
 22.8 us/s;  3.7;;;;kWork;kfree_rcu_work; 14.5 mW  
 41.9 us/s;  2.7;;;;kWork;dbs_work_handler; 10.9 mW  
220.8 us/s;  1.8;;;;Interrupt;[7] sched(softirq); 7.56 mW  
120.3 us/s;  1.8;;;;Interrupt;[50] vc4 crtc; 7.41 mW  
111.9 us/s;  1.8;;;;Process;[PID 754] lxpanel --profile LXDE-pi ; 7.39 mW  
 52.5 us/s;  1.8;;;;Process;[PID 39] [kcompactd0]; 7.30 mW  
 30.3 us/s;  1.8;;;;Timer;hrtimer_wakeup; 7.27 mW  
  7.4 us/s;  1.8;;;;kWork;kfree_rcu_monitor; 7.23 mW  
  4.0 ms/s;;;;  0.9;Process;[PID 1002] lxterminal ; 7.16 mW  
593.1 us/s;  0.9;;;;Process;[PID 209] [v3d_render]; 4.54 mW  
464.8 us/s;  0.9;;;;Process;[PID 208] [v3d_bin]; 4.34 mW  
267.6 us/s;  0.9;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 4.03 mW  
126.7 us/s;  0.9;;;;Process;[PID 1135] pool-pcmanfm; 3.81 mW  
 20.5 us/s;  0.9;;;;Process;[PID 885] /usr/libexec/gvfs-afc-volume-monitor ; 3.64 mW  
  7.9 us/s;  0.9;;;;Timer;sched_rt_period_timer; 3.62 mW  
  1.6 us/s;  0.9;;;;Interrupt;[66] mmc1; 3.61 mW  
  0.0 us/s;  0.9;;;;kWork;phy_state_machine; 3.61 mW  
  0.0 us/s;  0.9;;;;kWork;drm_mode_rmfb_work_fn; 3.61 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.61 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.61 mW  
  0.0 us/s;  0.9;;;;kWork;get_values_poll; 3.61 mW  
  1.6 ms/s;;;;;Process;[PID 294] [kworker/u8:3]; 2.45 mW  
