____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:52:02 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  126.3 wakeup/s;CPU:  8.2% usage;GPU: 0 ops/s;GFX: 0.9 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  0.1%; 35.1;Interrupt;[19] IPI;  140 mW  
  0.0%; 22.1;Interrupt;[35] fe00b880.mailbox; 87.7 mW  
  5.2%; 0.00;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 81.7 mW  
  0.0%; 13.8;Timer;tick_sched_timer; 55.1 mW  
  0.0%;  9.2;Timer;txdone_hrtimer; 36.6 mW  
  0.0%;  4.6;Timer;hrtimer_wakeup; 18.4 mW  
  0.0%;  4.6;kWork;dbs_work_handler; 18.3 mW  
  0.0%;  4.6;Interrupt;[72] eth0; 18.3 mW  
  0.0%;  3.7;Process;[PID 12] [rcu_sched]; 15.0 mW  
  0.0%;  3.7;kWork;handle_update; 14.7 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;   1.4% 
 700 MHz;   0.0% 
 800 MHz;   0.2% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  98.3% 
;
;
;
;

CPU 0
 600 MHz;   0.1% 
 700 MHz;   0.0% 
 800 MHz;   0.1% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.8% 
CPU 1
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.1% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
CPU 2
 600 MHz;   1.3% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  98.6% 
CPU 3
 600 MHz;   0.0% 
 700 MHz;   0.0% 
 800 MHz;   0.1% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.9% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
  0.8 ms/s; 35.1;;;;Interrupt;[19] IPI;  140 mW  
169.4 us/s; 22.1;;;;Interrupt;[35] fe00b880.mailbox; 87.7 mW  
 52.3 ms/s;;;;;Process;[PID 1131] powertop --csv output --iteration=10 --time=1 ; 81.7 mW  
292.8 us/s; 13.8;;;;Timer;tick_sched_timer; 55.1 mW  
 99.6 us/s;  9.2;;;;Timer;txdone_hrtimer; 36.6 mW  
101.5 us/s;  4.6;;;;Timer;hrtimer_wakeup; 18.4 mW  
 57.9 us/s;  4.6;;;;kWork;dbs_work_handler; 18.3 mW  
 26.1 us/s;  4.6;;;;Interrupt;[72] eth0; 18.3 mW  
250.6 us/s;  3.7;;;;Process;[PID 12] [rcu_sched]; 15.0 mW  
 96.3 us/s;  3.7;;;;kWork;handle_update; 14.7 mW  
  9.4 ms/s;;;;;Process;[PID 606] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ; 14.7 mW  
  6.1 ms/s;;;;;Process;[PID 748] mutter ; 9.59 mW  
304.0 us/s;  1.8;;;;Process;[PID 93] [jbd2/mmcblk0p2-]; 7.76 mW  
 71.2 us/s;  1.8;;;;kWork;mmc_blk_mq_complete_work; 7.40 mW  
 50.6 us/s;  1.8;;;;Process;[PID 39] [kcompactd0]; 7.37 mW  
 27.9 us/s;  1.8;;;;Interrupt;[66] mmc1; 7.33 mW  
 27.5 us/s;  1.8;;;;kWork;blk_mq_run_work_fn; 7.33 mW  
 10.3 us/s;  1.8;;;;kWork;kfree_rcu_monitor; 7.30 mW  
651.9 us/s;  0.9;;;;Process;[PID 209] [v3d_render]; 4.66 mW  
616.6 us/s;  0.9;;;;Process;[PID 756] pcmanfm --desktop --profile LXDE-pi ; 4.61 mW  
594.8 us/s;  0.9;;;;Process;[PID 208] [v3d_bin]; 4.57 mW  
288.9 us/s;  0.9;;;;Process;[PID 1134] pool-pcmanfm; 4.09 mW  
 79.0 us/s;  0.9;;;;Interrupt;[50] vc4 crtc; 3.77 mW  
 67.0 us/s;  0.9;;;;Process;[PID 525] /usr/bin/epmd -systemd ; 3.75 mW  
 50.0 us/s;  0.9;;;;Process;[PID 453] /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant ; 3.72 mW  
 27.6 us/s;  0.9;;;;kWork;kfree_rcu_work; 3.69 mW  
 15.5 us/s;  0.9;;;;kWork;vmstat_shepherd; 3.67 mW  
  5.6 us/s;  0.9;;;;Timer;sched_rt_period_timer; 3.65 mW  
  0.0 us/s;  0.9;;;;kWork;drm_mode_rmfb_work_fn; 3.64 mW  
  0.0 us/s;  0.9;;;;kWork;ext4_end_io_rsv_work; 3.64 mW  
  0.0 us/s;  0.9;;;;kWork;mmc_rescan; 3.64 mW  
  0.0 us/s;  0.9;;;;kWork;v3d_clock_down_work; 3.64 mW  
