____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;v2.11-1-g7ef7f79 ran at Mon Jan 31 11:15:25 2022

Kernel Version;Linux version 5.10.63-v7l+
System Name;
CPU Information;4 ARMv7 Processor rev 3 (v7l)
OS Information;Raspbian GNU/Linux 11 (bullseye)

Target: 1 units/s;System:  753.9 wakeup/s;CPU:  88.6% usage;GPU: 0 ops/s;GFX: 0 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description;PW Estimate
  1.6%;281.3;Interrupt;[19] IPI;  1.14 W  
 52.4%; 0.00;Process;[PID 2275] powertop --csv output --iteration=10 --time=0.25 ;  818 mW  
  0.3%;112.5;Timer;txdone_hrtimer;  448 mW  
  0.4%; 78.8;Timer;tick_sched_timer;  318 mW  
 10.8%; 11.3;Process;[PID 534] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  213 mW  
  0.3%; 45.0;Interrupt;[35] fe00b880.mailbox;  182 mW  
  0.2%; 45.0;Process;[PID 12] [rcu_sched];  181 mW  
  0.2%; 45.0;kWork;handle_update;  181 mW  
  0.0%; 45.0;kWork;dbs_work_handler;  178 mW  
  9.1%; 0.00;Process;[PID 1663] [kworker/3:2];  142 mW  

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
;
;
;

CPU;0
CPU;1
CPU;2
CPU;3
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 600 MHz;  30.5% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.6% 
1000 MHz;   0.0% 
1100 MHz;   0.5% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.8% 
Idle;  67.6% 
;
;
;
;

CPU 0
 600 MHz;  29.9% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.5% 
1000 MHz;   0.0% 
1100 MHz;   0.5% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.8% 
Idle;  68.3% 
CPU 1
 600 MHz;   0.4% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  99.6% 
CPU 2
 600 MHz;   4.1% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.0% 
1000 MHz;   0.0% 
1100 MHz;   0.0% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.1% 
Idle;  95.9% 
CPU 3
 600 MHz;   3.0% 
 700 MHz;   0.0% 
 800 MHz;   0.0% 
 900 MHz;   0.1% 
1000 MHz;   0.0% 
1100 MHz;   0.1% 
1200 MHz;   0.0% 
1300 MHz;   0.0% 
1400 MHz;   0.0% 
1500 MHz;   0.0% 
1.60 GHz;   0.0% 
1.71 GHz;   0.0% 
1.80 GHz;   0.0% 
Idle;  96.9% 
;
;
;
;
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description;PW Estimate
 15.6 ms/s;281.3;;;;Interrupt;[19] IPI;  1.14 W  
524.1 ms/s;;;;;Process;[PID 2275] powertop --csv output --iteration=10 --time=0.25 ;  818 mW  
  2.5 ms/s;112.5;;;;Timer;txdone_hrtimer;  448 mW  
  4.1 ms/s; 78.8;;;;Timer;tick_sched_timer;  318 mW  
108.0 ms/s; 11.3;;;;Process;[PID 534] /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch ;  213 mW  
  2.7 ms/s; 45.0;;;;Interrupt;[35] fe00b880.mailbox;  182 mW  
  2.4 ms/s; 45.0;;;;Process;[PID 12] [rcu_sched];  181 mW  
  2.2 ms/s; 45.0;;;;kWork;handle_update;  181 mW  
235.5 us/s; 45.0;;;;kWork;dbs_work_handler;  178 mW  
 91.1 ms/s;;;;;Process;[PID 1663] [kworker/3:2];  142 mW  
 28.6 ms/s; 22.5;;;;Process;[PID 753] mutter ;  133 mW  
390.1 us/s; 22.5;;;;kWork;kfree_rcu_monitor; 89.5 mW  
 11.4 ms/s; 11.3;;;;Process;[PID 1053] lxterminal ; 62.3 mW  
 30.1 ms/s;;;;;Interrupt;[9] RCU(softirq); 47.0 mW  
347.6 us/s; 11.3;;;;kWork;kfree_rcu_work; 45.0 mW  
  0.0 us/s; 11.3;;;;kWork;mmc_rescan; 44.4 mW  
  0.0 us/s; 11.3;;;;kWork;drm_mode_rmfb_work_fn; 44.4 mW  
 21.4 ms/s;;;;;Process;[PID 1525] [kworker/0:3]; 33.4 mW  
 10.4 ms/s;;;;;Interrupt;[28] arch_timer; 16.3 mW  
  5.4 ms/s;;;;;Process;[PID 1370] [kworker/u8:2]; 8.36 mW  
  4.2 ms/s;;;;;Process;[PID 1815] [kworker/2:3]; 6.55 mW  
  3.5 ms/s;;;;;Process;[PID 243] [v3d_render]; 5.51 mW  
  3.5 ms/s;;;;;Interrupt;[7] sched(softirq); 5.43 mW  
  2.7 ms/s;;;;;Process;[PID 27] [ksoftirqd/3]; 4.22 mW  
  2.6 ms/s;;;;;Process;[PID 22] [ksoftirqd/2]; 4.04 mW  
  2.3 ms/s;;;;;Process;[PID 242] [v3d_bin]; 3.63 mW  
  1.5 ms/s;;;;;Interrupt;[21] IPI; 2.29 mW  
  1.1 ms/s;;;;;Interrupt;[1] timer(softirq); 1.67 mW  
  1.0 ms/s;;;;;Timer;process_timeout; 1.49 mW  
  0.9 ms/s;;;;;Timer;delayed_work_timer_fn; 1.34 mW  
  0.8 ms/s;;;;;Interrupt;[50] vc4 crtc; 1.28 mW  
  0.7 ms/s;;;;;Interrupt;[79] v3d; 1.12 mW  
455.5 us/s;;;;;Process;[PID 1375] [kworker/3:0];  711 uW  
162.7 us/s;;;;;Timer;hrtimer_wakeup;  254 uW  
